1	7
1	11
1	57
1	69
1	77
2	8
2	12
2	58
2	78
3	7
3	19
3	23
3	71
3	73
3	77
4	8
4	20
4	24
4	72
4	74
5	3
5	9
5	27
5	71
5	73
6	10
6	16
6	28
6	72
6	74
7	1
7	3
7	13
7	40
7	48
7	75
7	76
7	80
7	88
7	89
8	2
8	4
8	14
8	40
8	48
8	75
8	76
8	80
8	88
8	89
9	5
9	15
9	40
9	48
9	73
9	75
9	76
9	80
9	88
9	89
10	6
10	8
10	16
10	74
11	1
11	13
11	17
11	19
12	2
12	14
12	18
12	30
13	7
13	11
13	29
13	73
14	8
14	12
14	16
14	30
14	74
15	9
15	13
15	29
15	73
15	83
16	10
16	14
16	30
16	38
16	74
16	84
17	11
17	29
17	57
17	79
17	81
18	30
18	58
18	64
18	80
18	82
19	3
19	20
19	33
19	69
19	77
20	4
20	19
20	34
20	69
20	70
21	22
21	27
21	31
21	41
21	71
22	21
22	28
22	30
22	32
22	42
22	72
22	84
23	3
23	19
23	24
23	31
24	4
24	23
24	26
24	32
25	26
25	27
25	31
25	40
25	48
25	75
25	76
25	80
25	88
25	89
26	6
26	24
26	25
26	28
26	32
27	5
27	21
27	25
27	40
27	48
27	75
27	76
27	80
27	88
27	89
28	6
28	22
28	26
28	40
28	48
28	75
28	76
28	80
28	88
28	89
29	13
29	15
29	17
29	73
30	12
30	14
30	16
30	18
30	74
30	84
31	21
31	23
31	25
31	32
31	33
32	22
32	24
32	26
32	31
32	34
33	19
33	31
33	34
33	67
33	69
34	20
34	32
34	33
34	68
34	70
35	33
35	36
35	43
35	67
36	34
36	35
36	38
36	44
36	49
36	51
36	68
37	39
37	40
37	41
37	48
37	75
37	76
37	77
37	80
37	88
37	89
38	40
38	42
38	48
38	75
38	76
38	78
38	80
38	88
38	89
39	37
39	40
39	47
39	48
39	55
39	75
39	76
39	80
39	88
39	89
40	7
40	8
40	9
40	25
40	27
40	28
40	37
40	38
40	39
40	41
40	42
40	47
40	48
40	50
40	53
40	54
40	56
40	62
40	63
40	65
40	66
40	75
40	76
40	79
40	80
40	87
40	88
40	89
40	90
41	21
41	37
41	40
41	48
41	75
41	76
41	80
41	83
41	88
41	89
42	22
42	38
42	40
42	48
42	75
42	76
42	80
42	84
42	88
42	89
43	44
43	45
43	47
43	67
44	43
44	46
44	48
44	68
45	43
45	46
45	49
45	67
46	44
46	45
46	50
46	68
47	39
47	40
47	43
47	48
47	55
47	75
47	76
47	80
47	88
47	89
48	7
48	8
48	9
48	25
48	27
48	28
48	37
48	38
48	39
48	40
48	41
48	42
48	44
48	47
48	50
48	53
48	54
48	56
48	62
48	63
48	65
48	66
48	75
48	76
48	79
48	80
48	87
48	88
48	89
48	90
49	45
49	50
49	51
49	59
50	40
50	46
50	48
50	52
50	60
50	75
50	76
50	80
50	88
50	89
51	49
51	53
51	59
51	61
51	65
51	85
52	50
52	54
52	66
52	86
53	40
53	47
53	48
53	51
53	55
53	75
53	76
53	80
53	88
53	89
54	40
54	48
54	52
54	56
54	75
54	76
54	80
54	88
54	89
54	90
55	39
55	47
55	53
55	89
56	40
56	48
56	54
56	90
57	1
57	17
57	61
57	73
57	77
58	2
58	18
58	30
58	60
58	64
58	70
58	74
58	78
59	51
59	61
59	67
59	77
60	50
60	58
60	62
60	68
60	78
61	57
61	59
61	63
61	65
62	40
62	48
62	60
62	64
62	66
62	75
62	76
62	80
62	88
62	89
63	40
63	48
63	57
63	61
63	75
63	76
63	80
63	81
63	88
63	89
64	18
64	58
64	62
64	82
65	40
65	48
65	51
65	61
65	75
65	76
65	80
65	85
65	88
65	89
66	40
66	48
66	52
66	62
66	75
66	76
66	80
66	86
66	88
66	89
67	33
67	35
67	45
67	59
67	68
67	69
67	77
68	34
68	36
68	46
68	60
68	67
68	70
68	78
69	1
69	19
69	33
69	57
69	67
69	70
69	77
70	20
70	34
70	58
70	68
70	69
70	78
71	3
71	5
71	21
71	23
71	25
71	77
72	4
72	6
72	22
72	26
72	74
72	78
73	3
73	5
73	29
73	51
73	57
73	59
73	75
74	4
74	6
74	10
74	30
74	38
74	58
74	72
74	76
74	78
75	7
75	8
75	9
75	25
75	27
75	28
75	37
75	38
75	39
75	40
75	41
75	42
75	47
75	48
75	50
75	53
75	54
75	62
75	63
75	65
75	66
75	71
75	73
75	76
75	79
75	80
75	87
75	88
75	89
75	90
76	7
76	8
76	9
76	25
76	27
76	28
76	37
76	38
76	39
76	40
76	41
76	42
76	47
76	48
76	50
76	53
76	54
76	62
76	63
76	65
76	66
76	72
76	74
76	75
76	79
76	80
76	87
76	88
76	89
76	90
77	1
77	3
77	19
77	37
77	57
77	59
77	67
77	69
77	71
77	73
77	78
78	2
78	4
78	20
78	38
78	48
78	58
78	60
78	70
78	72
78	74
78	77
79	17
79	29
